environment,seed,budget,method,ndcg,delta_vs_source_router,recall_at_10,delta_recall_at_10_vs_source_router,changed_action_fraction,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens,corpus_name,backend,selected_probe_pairs
fiqa_bm25,23,32,information_gain,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,73.66888182834373,64.0,16.0,48.0,19861.0,5219.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,32
fiqa_bm25,23,0,learned_value,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,23,4,learned_value,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,73.66888182834373,8.0,16.0,48.0,19861.0,5219.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,4
fiqa_bm25,23,8,learned_value,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,73.66888182834373,17.0,16.0,48.0,19861.0,5219.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,8
fiqa_bm25,23,16,learned_value,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,73.66888182834373,34.0,16.0,48.0,19861.0,5219.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,16
fiqa_bm25,23,32,learned_value,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,73.66888182834373,71.0,16.0,48.0,19861.0,5219.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,32
fiqa_bm25,47,0,source_router,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,4,source_router,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,8,source_router,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,16,source_router,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,32,source_router,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,0,random,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,4,random,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,10.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,4
fiqa_bm25,47,8,random,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,18.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,8
fiqa_bm25,47,16,random,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,35.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,16
fiqa_bm25,47,32,random,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,71.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,32
fiqa_bm25,47,0,fixed,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,4,fixed,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,9.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,4
fiqa_bm25,47,8,fixed,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,18.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,8
fiqa_bm25,47,16,fixed,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,36.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,16
fiqa_bm25,47,32,fixed,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,72.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,32
fiqa_bm25,47,0,information_gain,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,0
fiqa_bm25,47,4,information_gain,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,8.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,4
fiqa_bm25,47,8,information_gain,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,16.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,8
fiqa_bm25,47,16,information_gain,0.25251415790289977,0.0,0.3233333333333333,0.0,0.0,76.39591286834911,32.0,16.0,48.0,19549.0,5067.0,1.0,0.0,0.0,0.0,0.0,fiqa,bm25,16
